"AMA INA","Basin","Subbasin","YEAR","Owner or BMP Operator","Right Number","Right Type","Well Id","CADASTRAL","AF Pumped","Movement Type","Water Type","LAT_DEGREES","LAT_MINUTES","LAT_SECONDS","LONG_DEGREES","LONG_MINUTES","LONG_SECONDS","PROGRAM"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","2019","SFI GRAND VISTA, LLC","58-102408.0003","TYPE 2 NON-IRRIGATION GFR","060001","B-05-02 08CCB","2.42","WITHDRAWAL","GROUNDWATER","33","47","6","112","29","54","58"
"PHOENIX AMA","PHOENIX AMA","HASSAYAMPA","2019","STOTZ DAIRY","59-219101.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","084785","B-01-04 18AAC","78.47","WITHDRAWAL","GROUNDWATER","33","25","56.29","112","41","40.9","59"
"PHOENIX AMA","PHOENIX AMA","HASSAYAMPA","2019","STOTZ DAIRY","59-219101.0000","GENERAL INDUSTRIAL USE WITHDRAWAL PERM","084786","B-01-04 18AAD","144.57","WITHDRAWAL","GROUNDWATER","33","25","56.29","112","41","40.9","59"
"DOUGLAS INA","DOUGLAS INA","DOUGLAS","2019","LHOIST NORTH AMERICA","60-203044.0000","NON-IRRIGATION USE","085057","D-24-26 05CCC","0.614","WITHDRAWAL","GROUNDWATER","","","","","","","60"
"HARQUAHALA VALLEY INA","HARQUAHALA INA","HARQUAHALA","2019","CV HARQUAHALA LLC, AN ARIZONA LIMITED LIABILITY COMPANY","60-201119.0007","IRRIGATION USE","085118","B-01-08 07CBB","1754.803","WITHDRAWAL","GROUNDWATER","","","","","","","60"
"TUCSON AMA","TUCSON AMA","UPPER SANTA CRUZ","2019","RINCON MESA LANDOWNER'S ASSN","91-000472.0000","SMALL COMMUNITY WATER SYSTEM","085141","D-15-16 33AAC","5.79","WITHDRAWAL","GROUNDWATER","","","","","","","91"
"PHOENIX AMA","PHOENIX AMA","WEST SALT RIVER VALLEY","2019","CITY OF EL MIRAGE","56-002016.0000","LARGE MUNICIPAL PROVIDER","085252","B-03-01 13BAA","545.68","WITHDRAWAL","GROUNDWATER","33","36","30","112","18","56","56"
"NOT WITHIN ANY AMA OR INA","GILA BEND","GILA BEND","2019","PALOMA RANCH","91-000262.0000","SMALL COMMUNITY WATER SYSTEM","085270","C-06-06 10BCB","360","WITHDRAWAL","GROUNDWATER","","","","","","","91"
"PHOENIX AMA","PHOENIX AMA","EAST SALT RIVER VALLEY","2019","PHILLIP KENNETH GREER","58-100117.0000","TYPE 2 NON-IRRIGATION GFR","085339","D-02-06 34AAB","20","WITHDRAWAL","GROUNDWATER","","","","","","","58"
"PINAL AMA","PINAL AMA","MARICOPA-STANFIELD","2019","D.A. HOLDINGS, L.L.C.","58-107768.0004","TYPE 1 GFR","085518","D-04-03 17DCB","25.96","WITHDRAWAL","GROUNDWATER","","","","","","","58"
