# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2022-04-25 05:40:49 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 09427520 COLORADO RIVER BELOW PARKER DAM, AZ-CA
# -----------------------------------------------------------------------------------
#
# Data provided for site 09427520
#            TS   parameter     statistic     Description
#          5403       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	5403_00060_00003	5403_00060_00003_cd
5s	15s	20d	14n	10s
USGS	09427520	2002-01-01	7310	A
USGS	09427520	2002-01-02	5860	A
USGS	09427520	2002-01-03	5420	A
USGS	09427520	2002-01-04	4740	A
USGS	09427520	2002-01-05	5210	A
USGS	09427520	2002-01-06	6690	A
USGS	09427520	2002-01-07	4440	A
USGS	09427520	2002-01-08	3640	A
USGS	09427520	2002-01-09	5370	A
USGS	09427520	2002-01-10	4750	A
USGS	09427520	2002-01-11	8270	A
USGS	09427520	2002-01-12	6060	A
USGS	09427520	2002-01-13	6640	A
USGS	09427520	2002-01-14	7160	A
USGS	09427520	2002-01-15	7700	A
USGS	09427520	2002-01-16	6140	A
USGS	09427520	2002-01-17	4700	A
USGS	09427520	2002-01-18	7070	A
USGS	09427520	2002-01-19	7490	A
USGS	09427520	2002-01-20	7000	A
USGS	09427520	2002-01-21	7490	A
USGS	09427520	2002-01-22	7630	A
USGS	09427520	2002-01-23	6940	A
USGS	09427520	2002-01-24	5080	A
USGS	09427520	2002-01-25	7980	A
USGS	09427520	2002-01-26	7490	A
USGS	09427520	2002-01-27	7060	A
USGS	09427520	2002-01-28	8510	A
USGS	09427520	2002-01-29	7020	A
USGS	09427520	2002-01-30	7440	A
USGS	09427520	2002-01-31	6510	A
USGS	09427520	2002-02-01	7470	A
USGS	09427520	2002-02-02	8470	A
USGS	09427520	2002-02-03	7960	A
USGS	09427520	2002-02-04	7510	A
USGS	09427520	2002-02-05	7430	A
USGS	09427520	2002-02-06	7090	A
USGS	09427520	2002-02-07	7020	A
USGS	09427520	2002-02-08	7460	A
USGS	09427520	2002-02-09	8390	A
USGS	09427520	2002-02-10	8840	A
USGS	09427520	2002-02-11	9830	A
USGS	09427520	2002-02-12	9870	A
USGS	09427520	2002-02-13	9410	A
USGS	09427520	2002-02-14	7970	A
USGS	09427520	2002-02-15	8430	A
USGS	09427520	2002-02-16	8820	A
USGS	09427520	2002-02-17	9420	A
USGS	09427520	2002-02-18	8970	A
USGS	09427520	2002-02-19	8840	A
USGS	09427520	2002-02-20	9180	A
USGS	09427520	2002-02-21	9390	A
USGS	09427520	2002-02-22	9790	A
USGS	09427520	2002-02-23	9880	A
