AGRI,Crop,GW,P,SSEBop,SW,URBAN,WS_PA,WS_PA_EA,YEAR
0.0,0.0,0.0,76.874,0.0,5.9159254e-05,0.00973167,1.0682845,-0.9849727,2002
0.0,0.0,0.0,74.324,20.0,2.7118958e-05,0.0059025562,1.0682845,-0.9849727,2002
0.0,0.0,16.867441,72.125,0.0,0.0,0.0032035976,1.0682845,-0.9849727,2002
0.0,0.0,0.0,70.53,0.0,0.0,0.0015558968,1.0682845,-0.9849727,2002
0.0,0.0,0.0,82.090996,0.0,5.3529508e-05,0.008237723,1.0682845,-0.9849727,2002
0.0,0.0,0.0,80.322,0.0,2.4538249e-05,0.0049964213,1.0682845,-0.9849727,2002
0.0,0.0,139.6989,73.98399,0.0,0.0,0.0027117995,1.0682845,-0.9849727,2002
0.0,0.0,90.48741,69.458,45.0,0.0,0.0013170707,1.0682845,-0.9849727,2002
0.0,0.0,0.0,65.213,0.0,0.0,0.0005730275,1.0682845,-0.9849727,2002
0.0,0.0,0.0,83.77,0.0,4.653632e-05,0.0062399087,1.0682845,-0.9849727,2002
0.0,0.0,0.0,83.218,0.0,2.1332527e-05,0.0037846598,1.0682845,-0.9849727,2002
0.0,0.0,199.6523,78.541,0.0,0.0,0.0020541302,1.0682845,-0.9849727,2002
0.0,0.0,342.62457,74.116005,4.0,0.0,0.000997727,1.0682845,-0.9849727,2002
0.0,0.0,189.0189,69.274,0.0,0.0,0.0004350305,1.0682845,-0.9849727,2002
0.0,0.0,27.434494,106.431,24.0,8.146985e-05,0.017076124,1.0277218,-0.9961791,2002
0.0,0.0,0.092228405,103.384,30.0,0.00016406013,0.018935764,1.0277218,-0.9961791,2002
0.0,0.0,0.0,90.043,46.0,3.88704e-05,0.00423195,1.0682845,-0.9849727,2002
0.0,0.0,0.0,89.056,4.0,1.7818424e-05,0.0025688729,1.0682845,-0.9849727,2002
0.0,0.0,0.0,82.968,5.0,0.0,0.0013975182,1.0682845,-0.9849727,2002
0.0,0.0,0.0,80.688,0.0,0.0,0.0006832858,1.0682845,-0.9849727,2002
0.0,0.0,0.0,78.547,0.0,0.0,0.0003049798,1.0682845,-0.9849727,2002
0.0,0.0,0.0,74.7,7.0,0.0,0.00013295491,1.0682845,-0.9849727,2002
0.0,0.0,0.0,111.238,127.0,5.2526757e-05,0.022363322,1.0277218,-0.9961791,2002
0.0,0.0,134.49393,101.758,37.0,8.991933e-05,0.027061908,1.0277218,-0.9961791,2002
0.0,0.0,278.79956,99.911,28.0,0.00015878031,0.029903254,1.0277218,-0.9961791,2002
0.0,0.0,0.1662084,117.826996,14.0,0.00028353327,0.030443309,1.0277218,-0.9961791,2002
0.0,0.0,0.0,152.406,15.0,0.00050291605,0.02905757,1.0277218,-0.9961791,2002
0.0,0.0,0.0,117.603,78.0,7.058868e-05,0.032107748,1.0277218,-0.9961791,2002
0.0,0.0,49.056133,96.999,40.0,0.0001039417,0.03871315,1.0277218,-0.9961791,2002
0.0,0.0,170.82327,103.239,15.0,0.00016067694,0.04261424,1.0277218,-0.9961791,2002
0.0,0.0,0.0,112.869,20.0,0.0002592331,0.043158427,1.0277218,-0.9961791,2002
0.0,0.0,0.0,145.082,13.0,0.000429209,0.040826734,1.0277218,-0.9961791,2002
0.0,0.0,0.0,164.31,11.0,0.0007149403,0.037084077,1.0277218,-0.9961791,2002
0.0,0.0,0.0,195.543,27.0,0.0011782066,0.03377441,1.0277218,-0.9961791,2002
0.0,0.0,0.0,120.626,54.0,0.00011535554,0.041646652,1.0277218,-0.9961791,2002
0.0,0.0,0.0,102.991005,11.0,0.00014954065,0.050004903,1.0277218,-0.9961791,2002
0.0,0.0,0.0,103.162994,11.0,0.00019920012,0.054809496,1.0277218,-0.9961791,2002
0.0,0.0,0.0,111.446,30.0,0.00027716963,0.055215105,1.0277218,-0.9961791,2002
0.0,0.0,0.0,137.695,18.0,0.0004048105,0.05179565,1.0277218,-0.9961791,2002
0.0,0.0,0.0,155.255,38.0,0.00061476586,0.046363614,1.0277218,-0.9961791,2002
0.0,0.0,0.0,195.703,14.0,0.00095300464,0.04123975,1.0277218,-0.9961791,2002
0.0,0.0,0.0,279.91,349.0,0.001479002,0.03832494,1.0277218,-0.9961791,2002
0.0,0.0,0.048826803,114.735,68.0,0.0002525137,0.058334783,1.0277218,-0.9961791,2002
0.0,0.0,0.0,109.226,15.0,0.0003032227,0.06363571,1.0277218,-0.9961791,2002
0.0,0.0,10.117505,115.112,30.0,0.00036870185,0.063751794,1.0277218,-0.9961791,2002
0.0,0.0,0.93708,131.63,35.0,0.00046302564,0.059326213,1.0277218,-0.9961791,2002
0.0,0.0,0.0,146.637,41.0,0.00060901436,0.052406844,1.0277218,-0.9961791,2002
0.0,0.0,3.4775534,166.771,24.0,0.0008398035,0.04564421,1.0168952,-1.0010151,2002
0.0,0.0,0.0,122.485,110.0,0.00045530943,0.061472427,1.0277218,-0.9961791,2002
0.0,0.0,2.3624282,115.117004,211.0,0.0005197113,0.06670688,1.0277218,-0.9961791,2002
0.0,0.0,190.1581,122.347,85.0,0.0005838045,0.06644072,1.0168952,-1.0010151,2002
0.0,0.0,6.032231,128.953,34.0,0.00065502373,0.061353043,1.0168952,-1.0010151,2002
0.0,0.0,0.0,137.483,37.0,0.000748187,0.053558864,1.0168952,-1.0010151,2002
0.0,0.0,0.0,159.92,34.0,0.00088674715,0.04580681,1.0168952,-1.0010151,2002
0.0,0.0,0.0,159.017,417.0,0.00071213493,0.049511462,1.0277218,-0.9961791,2002
0.0,0.0,0.0453744,128.67801,315.0,0.00082453917,0.0585178,1.0277218,-0.9961791,2002
0.0,0.0,0.0,126.441,100.0,0.00092210894,0.06313884,1.0277218,-0.9961791,2002
0.0,0.0,0.28457642,135.741,98.0,0.0010001255,0.062504485,1.0168952,-1.0010151,2002
0.0,0.0,0.0,129.722,88.0,0.0010594057,0.057288144,1.0168952,-1.0010151,2002
0.0,0.0,70.99086,142.614,90.0,0.0011082151,0.049486864,1.0168952,-1.0010151,2002
0.0,0.0,0.0,154.182,53.0,0.0011634527,0.041689847,1.0168952,-1.0010151,2002
0.0,0.0,0.0562248,219.14299,434.0,0.0012653198,0.042840928,1.0277218,-0.9961791,2002
0.0,0.0,0.0,178.211,333.0,0.0014588663,0.050323427,1.0277218,-0.9961791,2002
0.0,0.0,0.2041848,193.655,332.0,0.0016191474,0.053968668,1.0277218,-0.9961791,2002
0.0,0.0,0.0,170.25,364.0,0.0017325247,0.053092908,1.0168952,-1.0010151,2002
0.0,0.0,0.0,147.263,259.0,0.0017922545,0.048317503,1.0168952,-1.0010151,2002
0.0,0.0,34.74594,143.396,144.0,0.0018009272,0.04136404,1.0168952,-1.0010151,2002
0.0,0.0,3.301481,148.397,98.0,0.0017718726,0.034446687,1.0168952,-1.0010151,2002
0.0,0.0,0.0,216.91699,501.0,0.0029406159,0.040760286,1.0168952,-1.0010151,2002
1.4264638e-05,0.0,0.0,150.94499,280.0,0.028420579,0.038531084,1.0168952,-1.0010151,2002
3.788963e-05,0.0,0.0,118.810005,312.0,0.047007285,0.07917812,1.0168952,-1.0010151,2002
4.25226e-05,0.0,0.0,165.155,404.0,0.03982362,0.072603986,1.0168952,-1.0010151,2002
5.093557e-05,0.0,0.0,123.428,345.0,0.03400883,0.06250292,1.0168952,-1.0010151,2002
5.836282e-05,0.0,0.0,123.07001,287.0,0.030251022,0.050931923,1.0415046,-1.007762,2002
0.00039607604,0.0,0.0,80.556,140.0,0.0490972,0.035515044,1.1294067,-1.0011699,2002
0.0004916112,0.0,0.0,87.623,240.0,0.058768444,0.030281844,1.1294067,-1.0011699,2002
0.00013953913,0.0,0.0,82.149,196.0,0.0609761,0.118630804,1.0168952,-1.0010151,2002
0.00012811608,0.0,0.0,95.641,376.0,0.05274592,0.119163506,1.0168952,-1.0010151,2002
0.00014182998,0.0,0.0,113.573,329.0,0.04524701,0.11200632,1.0168952,-1.0010151,2002
0.00016713125,0.0,0.0,100.069,340.0,0.039450303,0.098998584,1.0415046,-1.007762,2002
0.00018948049,0.0,0.0,103.832,323.0,0.03616948,0.08276442,1.0415046,-1.007762,2002
0.00019735674,0.0,0.0,106.484,277.0,0.036032084,0.06585309,1.0415046,-1.007762,2002
0.0008818929,0.0,0.0,76.408,160.0,0.04191417,0.048544075,1.1294067,-1.0011699,2002
0.0011110416,0.0,0.0,76.623,29.0,0.05219637,0.04357836,1.1294067,-1.0011699,2002
0.0013600943,0.0,0.0,84.548004,187.0,0.062462185,0.040995847,1.0168952,-1.0010151,2002
0.0015524446,0.0,0.0,83.774,122.0,0.071833946,0.043110695,1.0168952,-1.0010151,2002
0.0016202334,0.0,0.0,83.854004,301.0,0.0793964,0.051492166,1.0168952,-1.0010151,2002
0.0007553185,0.0,0.0,71.996,256.0,0.08032123,0.13892472,1.0168952,-1.0010151,2002
0.0005392482,0.0,0.24595885,75.073,60.0,0.07355294,0.16036889,1.0168952,-1.0010151,2002
0.00041493902,0.0,0.0,76.896,42.0,0.06543469,0.17360613,1.0168952,-1.0010151,2002
0.0003821992,0.0,0.0,77.781,296.0,0.057102185,0.17616244,1.0168952,-1.0010151,2002
0.00041847368,0.0,0.0,93.988,204.0,0.04973823,0.167863,1.0168952,-1.0010151,2002
0.0004873673,0.0,0.0,90.553,299.0,0.044434723,0.15066771,1.0415046,-1.007762,2002
0.000548482,0.0,0.0,100.89,376.0,0.042123675,0.12789217,1.0415046,-1.007762,2002
0.00056909106,0.0,0.0,103.003,255.0,0.043542236,0.103117816,1.0415046,-1.007762,2002
0.0027531784,0.0,0.0,57.26,110.0,0.0010607418,0.027141245,1.1294067,-1.0011699,2002
0.0027543874,0.0,0.0,65.269,3.0,0.0018448844,0.027823793,1.1294067,-1.0011699,2002
0.0024682982,0.0,0.0,68.173996,12.0,0.0050799744,0.033585455,1.1294067,-1.0011699,2002
0.002249263,0.0,0.0,73.461,13.0,0.007983588,0.039247055,1.1294067,-1.0011699,2002
0.002024197,0.0,0.0,75.791,34.0,0.012077709,0.04571439,1.1294067,-1.0011699,2002
0.0018438565,0.0,0.0,80.401,136.0,0.017580362,0.05134943,1.1294067,-1.0011699,2002
0.0017799408,0.0,0.0,78.964,119.0,0.024613816,0.05469938,1.1294067,-1.0011699,2002
0.0019037956,0.0,2.031984,77.203,124.0,0.033137772,0.05540739,1.1294067,-1.0011699,2002
0.00224731,0.0,0.0,78.825005,11.0,0.0428917,0.054553587,1.1294067,-1.0011699,2002
0.002766656,0.0,0.0,79.703,18.0,0.053376693,0.05432932,1.0168952,-1.0010151,2002
0.0033338245,0.0,0.0,78.03,14.0,0.06384136,0.057302386,1.0168952,-1.0010151,2002
0.0037717582,0.0,0.0,77.937996,35.0,0.07339431,0.06573159,1.0168952,-1.0010151,2002
0.0039233123,0.0,0.0,78.824,130.0,0.08110605,0.08117763,1.0168952,-1.0010151,2002
0.0018963054,0.0,0.0,72.703,52.0,0.08229112,0.20211783,1.0168952,-1.0010151,2002
0.0013850417,0.0,1.6837848,73.564,7.0,0.07560566,0.23064293,1.0168952,-1.0010151,2002
0.0010883848,0.0,0.57433146,73.938,31.0,0.06767486,0.24854308,1.0168952,-1.0010151,2002
0.0010099595,0.0,0.0,71.744,19.0,0.0597084,0.25243923,1.0168952,-1.0010151,2002
0.0010991505,0.0,0.0,77.914,248.0,0.05297993,0.24171065,1.0415046,-1.007762,2002
0.0012689865,0.0,0.0,76.632996,420.0,0.04867973,0.21850877,1.0415046,-1.007762,2002
0.0014195126,0.0,0.0,83.126,293.0,0.04784236,0.18695611,1.0415046,-1.007762,2002
0.0014679702,0.0,0.4719924,87.366,350.0,0.0513051,0.15183763,1.0277218,-0.9961791,2002
0.0013761439,0.0,0.0,91.391,250.0,0.0596901,0.11738439,1.0277218,-0.9961791,2002
0.0066302624,0.0,0.0,59.591,50.0,0.0011077707,0.02047861,1.1294067,-1.0011699,2002
0.0066093733,0.0,0.0,62.467,2.0,0.0019035385,0.021009972,1.1294067,-1.0011699,2002
0.006325087,0.0,0.0,66.207,91.0,0.0031773492,0.022922382,1.1294067,-1.0011699,2002
0.0058789672,0.0,0.0,66.017,11.0,0.005135995,0.026773127,1.1294067,-1.0011699,2002
0.0053577786,0.0,0.0,69.8,13.0,0.008012999,0.032562643,1.1294067,-1.0011699,2002
0.0048390897,0.0,0.0,70.583,24.0,0.012054225,0.039521966,1.1294067,-1.0011699,2002
0.0044283224,0.0,0.0,74.267,116.0,0.017470604,0.04645072,1.1294067,-1.0011699,2002
0.004270913,0.0,0.0,77.855,24.0,0.024379522,0.052393626,1.1294067,-1.0011699,2002
0.0045109936,0.0,0.0,84.392,34.0,0.032739807,0.057371154,1.1294067,-1.0011699,2002
0.005211481,0.0,2.56464,86.521,14.0,0.042295482,0.06258083,1.1294067,-1.0011699,2002
0.0062790727,0.0,0.0,86.257996,9.0,0.05256161,0.07004481,1.0168952,-1.0010151,2002
0.0074466327,0.0,0.0,79.285,20.0,0.0628005,0.08197443,1.0168952,-1.0010151,2002
0.0083460305,0.0,0.0,75.622,10.0,0.07214447,0.10024093,1.0168952,-1.0010151,2002
0.008650452,0.0,0.0,73.192,61.0,0.0796888,0.12609139,1.0168952,-1.0010151,2002
0.008218627,0.0,0.0,73.46,51.0,0.084663406,0.15984322,1.0168952,-1.0010151,2002
0.007154065,0.0,0.0,69.034,115.0,0.08656763,0.20038581,1.0168952,-1.0010151,2002
0.0057484675,0.0,3.2482152,70.596,72.0,0.08527998,0.24467,1.0168952,-1.0010151,2002
0.0043514953,0.0,14.495148,70.975,2.0,0.08112513,0.28761494,1.0168952,-1.0010151,2002
